X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y,,
0908152080,7819,Pave,AllPub,Edwards,1Fam,1976,CBlock,1029,GasA,Y,1117,1,0,1,0,3,6,1,672,Y,0,NA,Abnorml,107000,,
0905401020,12671,Pave,AllPub,ClearCr,1Fam,1954,CBlock,1288,GasA,Y,2422,0,0,3,0,4,6,2,527,Y,0,NA,Normal,255000,,
0528218080,10237,Pave,AllPub,Gilbert,1Fam,2006,PConc,738,GasA,Y,1492,0,0,2,1,3,8,0,440,Y,0,NA,Partial,169985,,
0906385010,10402,Pave,AllPub,CollgCr,1Fam,2009,PConc,1226,GasA,Y,1226,0,0,2,0,3,6,0,740,Y,0,NA,Normal,198900,,
0533213120,2280,Pave,AllPub,Somerst,Twnhs,1999,PConc,744,GasA,Y,1549,1,0,2,1,3,6,0,440,Y,0,NA,Normal,172900,,
0923230040,9297,Pave,AllPub,Mitchel,Duplex,1976,CBlock,1728,GasA,Y,1728,2,0,2,0,4,8,0,560,Y,0,NA,Family,188000,,
0531385130,16196,Pave,AllPub,SawyerW,1Fam,1998,PConc,1482,GasA,Y,1494,1,0,2,0,3,5,1,514,Y,0,NA,Normal,215000,,
0921128020,13214,Pave,AllPub,Timber,1Fam,2008,PConc,2002,GasA,Y,2018,0,0,2,0,3,10,1,746,Y,0,NA,Normal,378500,,
0535179050,14850,Pave,AllPub,NAmes,1Fam,1957,CBlock,1092,GasA,Y,1092,1,0,1,0,2,6,1,299,Y,0,NA,Normal,141000,,
0904301410,8250,Pave,AllPub,Edwards,1Fam,1935,Slab,0,GasA,N,1032,0,0,1,0,2,6,1,260,Y,0,NA,Normal,125000,,
0528186050,7841,Pave,AllPub,NridgHt,TwnhsE,2005,PConc,1577,GasA,Y,1577,1,0,2,0,2,6,1,564,Y,0,NA,Normal,280000,,
