Price,Mileage,Make,Make2,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.10,8221,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
17542.04,9135,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16218.85,13196,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16336.91,16342,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
16339.17,19832,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15709.05,22236,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15230.00,22576,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15048.04,22964,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
14862.09,24021,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15295.02,27325,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
21335.85,10237,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
20538.09,15066,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
20512.09,16633,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19924.16,19800,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19774.25,23359,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19344.17,23765,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19105.13,24008,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
18543.43,26034,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
17808.20,32896,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
17968.84,34665,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
22358.88,8970,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0
23785.92,10577,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
22926.09,14363,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
21895.76,16508,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21273.06,18908,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21460.01,19467,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21183.12,21394,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
20406.10,22596,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21058.14,24469,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
19556.90,25245,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
23447.69,15755,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23547.24,16235,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23016.01,18147,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
22230.03,22102,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
22625.07,23612,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
21799.17,24439,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
21341.26,25212,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
21683.03,26779,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
20986.02,27096,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
20902.10,29649,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
20698.08,2992,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
20099.26,10036,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
18145.13,18339,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17944.86,19592,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0
19027.86,21797,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
18348.90,23852,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17750.88,25040,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17772.97,25052,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
