Name,Country,Events,Money,Money_event,Scoring,Driving,Fairways,GIR,Putt,Birdie,Sand,Scrambling,Bounceback
Aaron Baddeley,USA,20,989168,49458.4,70.9,287.9,56.2,60.5,27.9,34.8,53.3,59.9,20.5
Aaron Barber,not USA,32,425277,13289.91,71.8,281.3,69.3,65.9,29.1,28.8,42.7,56.7,17.9
Adam Scott,not USA,14,1238736,88481.14,70.3,299.2,61.5,62.1,29.2,28.8,43.5,56.4,15.2
Akio Sadakata,not USA,29,107730,3714.83,72.3,283.3,67.5,66.3,29.6,28.2,45.5,55.1,18.6
Alex Cejka,not USA,30,1182883,39429.43,70.6,284.4,68,66.7,29.4,29.7,52.6,57.4,17.5
Andrew Magee,USA,26,578558,22252.23,71,299.3,60.5,68,29.1,28.7,51.5,60.6,20.6
Andy Miller,USA,25,134930,5397.2,71.9,293.3,59.8,61.7,28.8,31.4,50.3,55.1,22.3
Anthony Painter,not USA,31,220714,7119.81,72.7,287.5,61.5,60.6,28.8,28.6,55.1,56.4,19.9
Arron Oberholser,USA,25,619865,24794.6,70.6,285.1,68.9,65.8,28.8,28.7,60.2,67.3,18.6
Ben Crane,USA,27,1419070,52558.15,70.9,289.2,60.6,64.1,28.6,31.9,49.7,59.8,18.7
Ben Curtis,USA,21,1434911,68329.1,71.4,283.2,67.3,64.5,29.5,26.6,48.5,56.1,12.7
Bernhard Langer,not USA,21,555981,26475.29,71.1,272.3,65.6,62.3,28.9,26.5,48.9,57.4,17.8
Billy Andrade,USA,29,659694,22748.07,71,284.4,60.2,64.1,28.4,31.6,51.7,60.3,21.4
Billy Mayfair,USA,31,842186,27167.29,71,284,71.4,66.5,29.2,28.5,48.8,59.5,16.6
Bob Burns,USA,28,293974,10499.07,72.2,278.1,68.5,63.6,29.5,27,51.9,56.8,18.4
Bob Estes,USA,25,1824414,72976.56,70.1,279.3,68.7,67.1,28.8,30.4,51.8,59,18.1
Bob Tway,USA,26,2601600,100061.54,70.5,288.8,66.2,69.7,29.5,29.3,43,58.7,19.2
Brad Elder,USA,20,74341,3717.05,72.1,287.5,67.5,63.4,29.2,25,45.9,56.3,19.2
Brad Faxon,USA,27,2718445,100683.15,70.1,276.6,59.3,62.6,28.5,30.2,52.9,60.8,16.2
Brandt Jobe,USA,22,691604,31436.55,70.8,292.7,67.2,67.7,29.3,28.6,39.6,63.3,22.3
Brenden Pappas,not USA,33,1307809,39630.58,70.9,300.3,59.7,67.2,29.1,33,50,55.3,24.3
Brent Geiberger,USA,16,588533,36783.31,71.3,293.8,59.9,64.7,28.7,31.8,52.7,60.5,23.7
Brent Schwarzrock,not USA,20,216561,10828.05,71.6,295.2,67.3,66.3,29.5,30.9,41.9,56.9,20.6
Brett Quigley,USA,27,786294,29122,70.7,289.6,57,65.8,28.8,30.3,53.3,61.9,16.4
Brian Bateman,USA,26,217150,8351.92,71.7,297.2,66.5,67.4,29.7,29.1,38.2,55.8,15.5
Brian Gay,USA,34,447647,13166.09,71.6,278.1,65.9,62.5,28.5,29.9,50.6,60,17.6
Brian Henninger,USA,17,166003,9764.88,71.2,285.3,63.8,62.6,28.6,29.2,49.5,57.8,17.4
Briny Baird,USA,33,2202519,66743,70.1,292.2,68.4,72.2,29.8,29.4,48.6,59.5,19.5
Cameron Beckman,USA,26,608981,23422.35,71,289.4,67.2,67.3,29.2,31.3,50.4,58.6,20.5
Cameron Yancey,not USA,23,43810,1904.78,72.9,288.5,67.5,58.6,29.1,30.4,41.4,51.5,16.1
Carl Paulson,USA,32,365177,11411.78,71.5,293.4,72.3,66.3,29.1,30.3,45.6,58,21.1
Carl Pettersson,USA,26,977076,37579.85,71.2,281.8,63,63.9,28.7,32,56.5,56.5,19.9
Carlos Franco,not USA,30,672022,22400.73,70.9,298,59.3,68.5,29.6,28.6,48.7,58,21.5
Chad Campbell,USA,27,3912064,144891.26,69.7,294.6,68.9,71.8,29.7,30.6,40.3,54.8,22.2
Charles Howell III,USA,31,2568955,82869.52,70.2,294.6,62.4,67.9,29.2,29.7,49.4,59.7,24.1
Chris Anderson,USA,31,342028,11033.16,71.8,279.7,68.1,63.8,29.1,28.1,51,59.6,16.7
Chris DiMarco,USA,27,2350630,87060.37,70.3,281,67.6,67.1,28.5,33.8,54.7,58.1,16.6
Chris Riley,USA,29,2178133,75108.03,70.3,279.3,66,61.5,27.9,31.9,50.4,65.7,17.1
Chris Smith,USA,30,479523,15984.1,72.1,293.2,65.2,69,30.3,28.3,33.1,47.9,20.3
Cliff Kresge,USA,32,734667,22958.34,71.4,286.5,69.5,65.7,29.2,29.4,47.8,59,17.3
